Folkemengde og endringer, etter region, tid  og  statistikkvariabel;;;;
;;;;
 ;2007;2009;2013;2017
 ;Folkemengde;Folkemengde;Folkemengde;Folkemengde
Ålen (-1971);0;0;0;0
Haltdalen (-1971);0;0;0;0
Singsås (-1963);0;0;0;0
Budal (-1963);0;0;0;0
Midtre Gauldal;5889;5950;6266;6319
Støren (-1963);0;0;0;0
Soknedal (-1963);0;0;0;0
Horg (-1963);0;0;0;0
Hølonda (-1963);0;0;0;0
Flå (-1963);0;0;0;0
Melhus;14304;14655;15679;16213
Leinstrand (-1963);0;0;0;0
Byneset (-1963);0;0;0;0
Buvik (-1963);0;0;0;0
Skaun;6211;6437;7143;8000
Børsa (-1964);0;0;0;0
Geitastrand (-1962);0;0;0;0
Strinda (-1963);0;0;0;0
Tiller (-1963);0;0;0;0
Klæbu;5474;5634;5939;6050
Malvik;12322;12457;13085;13820
Selbu;3942;4004;4030;4098
Tydal;859;857;865;861
Levanger (-1961);0;0;0;0
Steinkjer;20624;20868;21392;21972
Namsos;12573;12723;12988;13051
Meråker;2507;2476;2510;2508
Hegra (-1961);0;0;0;0
Lånke (-1961);0;0;0;0
Stjørdal;20273;20960;22379;23625
Skatval (-1961);0;0;0;0
Åsen (-1961);0;0;0;0
Frosta;2461;2487;2627;2630
Leksvik;3484;3517;3531;3480
Levanger;18173;18464;19078;19892
Skogn (-1961);0;0;0;0
Frol (-1961);0;0;0;0
Verdal;13962;14157;14539;14849
Ytterøy (-1963);0;0;0;0
Mosvik  (-2011);874;836;0;0
Verran;2623;2924;2834;2515
Namdalseid;1741;1720;1699;1593
Malm (-1963);0;0;0;0
Beitstad (-1963);0;0;0;0
Sandvollan (-1961);0;0;0;0
Inderøy (-2011);5920;5846;0;0
Røra (-1961);0;0;0;0
Sparbu (-1963);0;0;0;0
Ogndal (-1963);0;0;0;0
Egge (-1963);0;0;0;0
Stod (-1963);0;0;0;0
Kvam (-1963);0;0;0;0
Snåase - Snåsa;2197;2176;2154;2159
Sørli (1915-1963);0;0;0;0
Lierne;1485;1461;1401;1389
Nordli (1915-1963);0;0;0;0
Raarvihke - Røyrvik;526;499;503;469
Namsskogan;933;924;902;872
Harran (-1963);0;0;0;0
Grong;2387;2350;2465;2467
Høylandet;1266;1274;1263;1264
Overhalla;3505;3562;3688;3840
Vemundvik (-1963);0;0;0;0
Klinga (-1963);0;0;0;0
Otterøy (-1963);0;0;0;0
Fosnes;712;680;669;628
Flatanger;1168;1134;1158;1090
Vikna;4019;4100;4300;4418
Nærøy;5073;4988;5097;5138
Kolvereid (-1963);0;0;0;0
Foldereid (-1963);0;0;0;0
Gravvik (-1963);0;0;0;0
Leka;583;582;574;584
Inderøy;0;0;6692;6800
Brønnøysund (1923-1963);0;0;0;0
Mosjøen (-1961);0;0;0;0
Mo (1923-1963);0;0;0;0
Bodø;45575;46495;49203;51022
Narvik;18301;18348;18509;18756
Svolvær (-1963);0;0;0;0
Bindal;1692;1616;1545;1473
Sømna;2047;2054;2033;2047
Brønnøy;7548;7597;7859;7956
Velfjord (-1963);0;0;0;0
Brønnøy (-1976);0;0;0;0
Vega;1299;1288;1238;1234
Vevelstad;504;501;500;528
Tjøtta (-1964);0;0;0;0
Herøy (Nordl.);1682;1652;1759;1788
Nordvik (-1961);0;0;0;0
Alstahaug;7225;7208;7361;7428
Sandnessjøen (-1964);0;0;0;0
Leirfjord;2123;2088;2144;2278
Drevja (-1961);0;0;0;0
Vefsn;13571;13342;13252;13465
Grane;1540;1500;1459;1469
Hattfjelldal;1482;1438;1471;1414
Dønna;1489;1432;1431;1410
Dønnes (-1961);0;0;0;0
Nesna;1776;1786;1875;1837
Elsfjord (-1961);0;0;0;0
Korgen (-1963);0;0;0;0
Sør-Rana (-1963);0;0;0;0
Hemnes;4510;4527;4620;4524
Rana;25190;25281;25752;26101
Nord-Rana (1923-1963);0;0;0;0
Lurøy;1970;1883;1916;1920
Træna;446;455;506;465
Rødøy;1343;1292;1310;1267
Meløy;6663;6641;6582;6435
Gildeskål;2081;2053;2006;2024
Beiarn;1148;1137;1075;1043
Saltdal;4688;4727;4745;4702
Fauske - Fuosko;9465;9477;9513;9729
Skjerstad (-2004);0;0;0;0
Bodin (-1967);0;0;0;0
Kjerringøy (-1963);0;0;0;0
Sørfold;2084;2021;1981;1958
Nordfold (-1963);0;0;0;0
Leiranger (-1963);0;0;0;0
Steigen;2680;2665;2552;2543
Hamarøy - Hábmer;1771;1754;1791;1810
Divtasvuodna - Tysfjord;2052;2046;1978;1960
Lødingen;2257;2242;2220;2134
Tjeldsund;1352;1333;1278;1252
Evenes;1361;1345;1376;1402
Ballangen;2684;2623;2599;2554
Ankenes (-1973);0;0;0;0
Røst;591;606;565;535
Værøy;748;738;754;744
Moskenes (1916-1975);0;0;0;0
Flakstad;1458;1419;1376;1349
Vestvågøy;10745;10706;10870;11294
Buksnes (-1962);0;0;0;0
Hol (-1962);0;0;0;0
Borge (-1962);0;0;0;0
Valberg (1927-1962);0;0;0;0
Gimsøy (-1963);0;0;0;0
Vågan;8992;8976;9207;9444
Hadsel;7907;7950;8050;8009
Bø (Nordl.);2899;2838;2654;2624
Øksnes;4486;4418;4472;4580
